衛星状態更新時間,constellationType,svid,usedinfix,basebandCn0DbHz,carrierFrequencyHz,cn0DbHz,elevationDegrees
19:09:26.228,GPS,5,false,40.2,1.57542003E9,44.9,71.0
19:09:26.228,GPS,13,false,39.8,1.57542003E9,44.5,68.0
19:09:26.228,GPS,15,false,40.8,1.57542003E9,45.5,56.0
19:09:26.228,GPS,20,false,39.2,1.57542003E9,43.9,49.0
19:09:26.228,GPS,24,false,35.0,1.57542003E9,39.7,24.0
19:09:26.228,BEIDOU,6,false,36.6,1.56109798E9,45.8,0.0
19:09:26.228,BEIDOU,4,false,37.1,1.56109798E9,46.3,0.0
19:09:26.228,BEIDOU,1,false,38.3,1.56109798E9,47.5,0.0
19:09:27.613,GPS,2,false,34.0,1.57542003E9,38.7,18.0
19:09:27.613,GPS,5,true,39.899998,1.57542003E9,44.6,71.0
19:09:27.613,GPS,11,false,31.2,1.57542003E9,35.9,0.0
19:09:27.613,GPS,13,true,38.7,1.57542003E9,43.4,68.0
19:09:27.613,GPS,15,true,39.2,1.57542003E9,43.9,56.0
19:09:27.613,GPS,18,false,35.1,1.57542003E9,39.8,28.0
19:09:27.613,GPS,20,true,37.7,1.57542003E9,42.4,49.0
19:09:27.613,GPS,24,false,35.2,1.57542003E9,39.9,24.0
19:09:27.613,GPS,29,false,30.7,1.57542003E9,35.4,11.0
19:09:27.613,GPS,30,false,32.8,1.57542003E9,37.5,26.0
19:09:27.613,GPS,14,false,0.0,1.57542003E9,0.0,9.0
19:09:27.613,GPS,23,false,0.0,1.57542003E9,0.0,4.0
19:09:27.613,GLONASS,2,true,45.7,1.59975002E9,51.7,50.0
19:09:27.613,GLONASS,18,true,43.7,1.60031245E9,49.7,34.0
19:09:27.613,GLONASS,13,false,29.2,1.60087501E9,35.2,16.0
19:09:27.613,GLONASS,12,true,46.5,1.60143744E9,52.5,40.0
19:09:27.613,GLONASS,1,true,36.3,1.60256256E9,42.3,15.0
19:09:27.613,GLONASS,17,false,44.1,1.60424998E9,50.1,37.0
19:09:27.613,GLONASS,3,false,44.5,1.60481254E9,50.5,28.0
19:09:27.613,BEIDOU,13,false,38.5,1.56109798E9,47.7,0.0
19:09:27.613,BEIDOU,9,false,35.0,1.56109798E9,44.2,0.0
19:09:27.613,BEIDOU,8,false,39.5,1.56109798E9,48.7,0.0
19:09:27.613,BEIDOU,6,false,38.5,1.56109798E9,47.7,0.0
19:09:27.613,BEIDOU,4,false,38.1,1.56109798E9,47.3,0.0
19:09:27.613,BEIDOU,1,false,39.399998,1.56109798E9,48.6,0.0
19:09:27.613,BEIDOU,193,false,38.0,1.57542003E9,42.7,0.0
19:09:27.613,BEIDOU,194,false,30.7,1.57542003E9,35.4,0.0
19:09:27.613,BEIDOU,195,false,35.8,1.57542003E9,40.5,0.0
